"AttributeName","Consistency","ValueIDS","RecordIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Title","1.0","Title-{MB_72984+WDC_18717+WDC_38111}","MB_72984+WDC_18717+WDC_38111","{Relieve|Relieve|Relieve}","Relieve",,
"Title","1.0","Title-{MB_8057+WDC_12502+WDC_42754}","MB_8057+WDC_12502+WDC_42754","{Live|Live|Live}","Live",,
"Title","1.0","Title-{MB_2866+spy_7310}","MB_2866+spy_7310","{Candy|Candy}","Candy",,
"Title","0.0","Title-{MB_29435+WDC_36042}","MB_29435+WDC_36042","{The Future of War (Remastered)|The Future of War}","The Future of War (Remastered)",,
"Title","1.0","Title-{MB_35949+spy_17025}","MB_35949+spy_17025","{No lo intenten en casa|No Lo Intenten En Casa}","No Lo Intenten En Casa",,
"Title","1.0","Title-{MB_80398+spy_1487}","MB_80398+spy_1487","{Tortuga 2016|Tortuga 2016}","Tortuga 2016",,
"Title","1.0","Title-{MB_29895+spy_15907}","MB_29895+spy_15907","{Selalu Ada|Selalu Ada}","Selalu Ada",,
"Title","1.0","Title-{MB_5393+WDC_6552}","MB_5393+WDC_6552","{Larrys Garage EP|Larrys Garage EP}","Larrys Garage EP",,
"Title","1.0","Title-{MB_18801+spy_1641}","MB_18801+spy_1641","{Fra diskolys til midnattssol|Fra diskolys til midnattssol}","Fra diskolys til midnattssol",,
"Title","1.0","Title-{MB_1646+WDC_14862+WDC_19284+WDC_4344}","MB_1646+WDC_14862+WDC_19284+WDC_4344","{Marquee Moon|Marquee Moon|Marquee Moon|Marquee Moon}","Marquee Moon",,
"Title","1.0","Title-{MB_37256+WDC_35651}","MB_37256+WDC_35651","{Dangerous Night (Cheat Codes remix)|Dangerous Night (Cheat Codes Remix)}","Dangerous Night (Cheat Codes Remix)",,
"Title","1.0","Title-{MB_76467+spy_431}","MB_76467+spy_431","{Sun sinking at dusk|Sun sinking at dusk}","Sun sinking at dusk",,
"Title","1.0","Title-{MB_21673+spy_3019}","MB_21673+spy_3019","{Ciro y los Persas en el Estadio de River|Ciro Y los Persas En el Estadio de River}","Ciro y los Persas en el Estadio de River",,
"Title","1.0","Title-{MB_73779+MB_73781+spy_8705}","MB_73779+MB_73781+spy_8705","{ROLEX FÜR ALLE|ROLEX FÜR ALLE|ROLEX FÜR ALLE}","ROLEX FÜR ALLE",,
"Title","1.0","Title-{MB_29853+WDC_35053}","MB_29853+WDC_35053","{Born to Win|Born to Win}","Born to Win",,
"Title","1.0","Title-{MB_25121+WDC_25761}","MB_25121+WDC_25761","{Never Let Me Go|Never Let Me Go}","Never Let Me Go",,
"Title","0.75","Title-{MB_3049+MB_3050+MB_3055+spy_11616}","MB_3049+MB_3050+MB_3055+spy_11616","{Last Year Was Weird, Vol. 2|Last Year Was Weird (Vol. 1)|Last Year Was Weird, Vol. 2|Last Year Was Weird, Vol. 2}","Last Year Was Weird (Vol. 1)",,
"Title","1.0","Title-{MB_9321+MB_9322+spy_1895}","MB_9321+MB_9322+spy_1895","{A Love Letter to You 4|A Love Letter to You 4|A Love Letter To You 4}","A Love Letter to You 4",,
"Title","1.0","Title-{MB_73278+spy_8247}","MB_73278+spy_8247","{Caliente|Caliente}","Caliente",,
"Title","1.0","Title-{MB_26818+WDC_12144}","MB_26818+WDC_12144","{My|My}","My",,
