"RecordIDS","AverageConsistency","Title-Consistency","Title-Values"
"MB_26616+spy_4485","1.0","1.0","{模特|模特}"
"MB_9471+spy_14156","1.0","1.0","{you broke me first|you broke me first}"
"MB_66953+spy_10452","1.0","1.0","{PERIOD|PERIOD}"
"MB_41162+WDC_1061","1.0","1.0","{A Thousand Different Ways|A Thousand Different Ways}"
"MB_22047+WDC_13579+WDC_1431+WDC_16149+WDC_19234","1.0","1.0","{Home|Home|Home|Home|Home}"
"MB_12257+WDC_16111+WDC_26973+WDC_30740+WDC_32385+WDC_43314","1.0","1.0","{Catch for Us the Foxes|Catch For Us The Foxes|Catch For Us The Foxes|Catch For Us The Foxes|Catch For Us The Foxes|Catch For Us The Foxes}"
"MB_15541+MB_15543+spy_845","1.0","1.0","{Ce que l'on vit|Ce que l'on vit|Ce que l'on vit}"
"MB_44443+WDC_1852","1.0","1.0","{DANCE|DANCE}"
"WDC_33656+spy_11763","1.0","1.0","{Dear Happy Deluxe|Dear Happy Deluxe}"
"MB_16205+WDC_31833","1.0","1.0","{Offering to the Morning Fog|Offering to the Morning Fog}"
"MB_74701+WDC_33944","1.0","1.0","{Do It Yourself|Do It Yourself}"
"MB_30513+WDC_40894","1.0","1.0","{Mátate Teté (Desde El Palacio de Los Deportes)|Mátate Teté (Desde El Palacio De Los Deportes)}"
"MB_17915+WDC_5236","1.0","1.0","{Freedom|Freedom}"
"MB_18315+WDC_36540","0.0","0.0","{The Essence Of Illusion|The Essence Of Illusion - Single}"
"MB_57319+WDC_2193","1.0","1.0","{Yo vengo aquí|Yo Vengo Aquí}"
"MB_48460+WDC_13652","1.0","1.0","{Do You See What I See?|Do You See What I See?}"
"MB_22680+WDC_12517+WDC_26242+WDC_5576+WDC_6902+WDC_9750","1.0","1.0","{Live & Direct|Live & Direct|Live & Direct|Live & Direct|Live & Direct|Live & Direct}"
"MB_22128+WDC_35844","1.0","1.0","{Cowgirl in Love|Cowgirl In Love}"
"MB_71016+WDC_8730","1.0","1.0","{Pfadfinder|Pfadfinder}"
"MB_62523+WDC_11509","1.0","1.0","{Ritual|Ritual}"
"MB_18954+spy_12333","1.0","1.0","{Quiet Nights|Quiet Nights}"
"MB_70332+WDC_11014+WDC_31790","1.0","1.0","{Cre8|Cre8|Cre8}"
"MB_63442+WDC_40568","1.0","1.0","{The Spell of a Vanishing Loveliness (Beach Fossils Rework)|The Spell of a Vanishing Loveliness (Beach Fossils Rework)}"
"MB_49733+WDC_36752","0.0","0.0","{Qualcuno mi può giudicare Antologia 1965 - 1997|Qualcuno mi può giudicare}"
"MB_35460+WDC_3049","1.0","1.0","{Dichotomy|Dichotomy}"
"MB_16276+WDC_22574","1.0","1.0","{When in Rome|When In Rome}"
"MB_38822+spy_12684","1.0","1.0","{I Cry By Night|I Cry By Night}"
"MB_781+WDC_1088+WDC_6935+WDC_7554+WDC_7587","1.0","1.0","{Rambler|Rambler|Rambler|Rambler|Rambler}"
"MB_45518+WDC_44965+WDC_7779","1.0","1.0","{Kings of Metal|Kings Of Metal|Kings Of Metal}"
"MB_32301+WDC_12143+WDC_27022","1.0","1.0","{Duncan Sheik|Duncan Sheik|Duncan Sheik}"
"MB_56046+WDC_32114","1.0","1.0","{I|I}"
"MB_40894+WDC_31858","1.0","1.0","{Skymorphosis|Skymorphosis}"
"MB_25915+spy_13622","1.0","1.0","{Balada Insan Muda|Balada Insan Muda}"
"MB_64734+WDC_35678","1.0","1.0","{QUEENS|QUEENS}"
"MB_28210+spy_5450","1.0","1.0","{Rich Gang|Rich Gang}"
"MB_60656+WDC_11927+WDC_29496","1.0","1.0","{Living Eyes|Living Eyes|Living Eyes}"
"MB_54235+WDC_2902","1.0","1.0","{Fast Times at Barrington High|Fast Times At Barrington High}"
"MB_11910+WDC_19044","1.0","1.0","{Last Time Around|Last Time Around}"
"MB_26737+spy_1614","1.0","1.0","{ULTRA|ULTRA}"
"MB_33644+WDC_39086+WDC_6435","1.0","1.0","{We Built a Fire|We Built A Fire|We Built A Fire}"
"MB_59184+WDC_14003","1.0","1.0","{Dreams and Songs|Dreams and Songs}"
"MB_8816+WDC_41870","1.0","1.0","{Double Exposure|Double Exposure}"
"MB_64261+spy_13221","1.0","1.0","{Saadi Yaad|Saadi Yaad}"
"MB_15480+WDC_18927+spy_11704","1.0","1.0","{Greatest Hits|Greatest Hits|Greatest Hits}"
"MB_70993+WDC_17242+WDC_32237+WDC_6114","1.0","1.0","{Like the Wind|Like The Wind|Like The Wind|Like The Wind}"
"MB_51804+WDC_18235+WDC_38319","1.0","1.0","{Fight for Love|Fight for Love|Fight for Love}"
"MB_52357+WDC_44879","1.0","1.0","{Anyways|Anyways}"
"MB_53041+WDC_21920+WDC_31698+WDC_38988+WDC_7209","1.0","1.0","{ANThology|Anthology|Anthology|Anthology|Anthology}"
"MB_495+MB_496+MB_497+MB_498+spy_8494","1.0","1.0","{Skrillex and Diplo Present Jack Ü|Skrillex and Diplo Present Jack Ü|Skrillex and Diplo Present Jack Ü|Skrillex and Diplo Present Jack Ü|Skrillex and Diplo present Jack Ü}"
"MB_52607+WDC_12743","1.0","1.0","{Well Spent Youth|Well Spent Youth}"
"MB_53747+WDC_21064","1.0","1.0","{Vivre maintenant|Vivre maintenant}"
"MB_12692+WDC_10987+WDC_36221+WDC_45036+WDC_9257","0.8","0.8","{Killing Is My Business… and Business Is Good!|Killing Is My Business...And Business Is Good - The Final Kill (Explicit)|Killing Is My Business...And Business Is Good - The Final Kill (Explicit)|Killing Is My Business...And Business Is Good - The Final Kill (Explicit)|Killing Is My Business...And Business Is Good - The Final Kill (Explicit)}"
"MB_59965+spy_2215","1.0","1.0","{Roots|Roots}"
"MB_75243+WDC_34324","1.0","1.0","{Clareia|Clareia}"
"MB_36985+WDC_40189","1.0","1.0","{Trails We Blaze|Trails We Blaze}"
"MB_57480+spy_12278","1.0","1.0","{OCHO|OCHO}"
"MB_58611+MB_58614+spy_4159","1.0","1.0","{The Harvest|The Harvest|The Harvest}"
"MB_34148+WDC_24236+WDC_8732","0.6666666666666666","0.6666666666666666","{On Our Way Home|On Our Way Home (EP)|On Our Way Home (EP)}"
"MB_28336+WDC_23588+WDC_24849+WDC_28066","1.0","1.0","{Surfing on Sine Waves|Surfing On Sine Waves|Surfing On Sine Waves|Surfing On Sine Waves}"
