"Blocking Key Value","Frequency"
"EX","1148"
"ES","1056"
"GU","1044"
"EM","1037"
"GA","1020"
"TH","1005"
"SK","935"
"AS","931"
"FU","918"
"VA","900"
"LI","11934"
"HU","848"
"SO","11484"
"LU","840"
"BA","11115"
"HE","10858"
"SE","10808"
"SA","10626"
"TR","10011"
"THBEOF","10000"
"ME","9686"
"DI","8374"
"RE","33596"
"MA","32235"
"CO","28122"
"SU","18699"
"PA","17954"
"ST","16060"
"MO","13390"
"DE","13104"
"IN","12584"
"CA","12489"
"MI","8321"
"PR","8112"
"HO","7896"
"LO","7776"
"CH","7392"
"UN","7242"
"AN","6919"
"VI","6642"
"RO","6588"
"SI","6560"
"RA","6162"
"SH","5950"
"BL","5166"
"HA","5040"
"BE","4859"
"BR","4743"
"BO","4494"
"AL","4422"
"WA","4321"
"TE","4256"
"FA","4212"
"PE","4134"
"DA","4066"
"PO","4025"
"GO","3968"
"FR","3770"
"KA","3358"
"SP","3175"
"NO","2700"
"TA","2670"
"FL","2523"
"DR","2484"
"TO","2464"
"GRHI","2442"
"RI","2430"
"LA","2378"
"FI","2310"
"EN","2210"
"THVEBE","2170"
"LE","2108"
"IM","2100"
"NA","2072"
"AM,TI","1944"
"CR","1900"
"KI","1896"
"WI","1824"
"BI","1775"
"CL","1760"
"DO","1701"
"JU","1690"
"VE","1679"
"FE","1659"
"GR","1656"
"FO","1634"
"PL","1564"
"EV","1540"
"AU","1520"
"BU","1518"
"AR","1491"
"WO","1460"
"HI","1445"
"GE","1364"
"NE","1320"
"MU","1254"
"KO","1240"
"EL","1204"
"PI","1197"
"AD","1150"
