"Blocking Key Value","Frequency"
"GA","1479"
"SK","1430"
"VA","1380"
"GL","1378"
"AU","1360"
"PI","1311"
"20CEMA","1305"
"AS,OR","1274"
"THWOIS","1260"
"HY","1248"
"DE","17550"
"QU","1225"
"LIATTH","17248"
"THULCO","1204"
"SO","17028"
"UN","15549"
"AN","15521"
"CA","14842"
"TR","14697"
"HE","14596"
"IN","13794"
"BA","13680"
"THBEOF","160800"
"RE","81266"
"CO","41856"
"MA","36533"
"GRHI","36408"
"THVEBE","35030"
"ST","34748"
"SU","29268"
"LI","19422"
"MO","18128"
"SH","12920"
"HO","12784"
"CH","12600"
"PA","11842"
"SE","11773"
"RA","11534"
"ME","11523"
"PR","10647"
"DI","10428"
"SI","9920"
"TE","9842"
"BL","9324"
"GO","8960"
"WA","8642"
"SA","8470"
"BE","8249"
"LO","7632"
"SP","7239"
"MI","7065"
"BR","6885"
"DA","6741"
"HA","6480"
"AL","6432"
"FR","5980"
"FA","5733"
"BO","5136"
"PO","4830"
"FO,TO","4816"
"RO","4392"
"FL","4263"
"LA","4018"
"RI","3888"
"WO","3796"
"DR","3772"
"PE","3710"
"CR","3700"
"WI","3648"
"NO","3564"
"TA","3471"
"FI","3465"
"VI","3321"
"EX","3116"
"TI","3024"
"ES","2970"
"EV","2940"
"THCO","2907"
"BU","2904"
"EN","2890"
"CL","2816"
"AM","2808"
"HI","2635"
"BI","2627"
"EL","2494"
"AR","2485"
"NA","2368"
"VE","2336"
"GR,SC","2070"
"VO","1925"
"KI","1896"
"DO","1863"
"LE","1836"
"TH","1809"
"RU","1800"
"19","1701"
"WE","1566"
"FE","1501"
"JU","1495"
"GE","1488"
