"Blocking Key Value","Frequency"
"FE","399"
"PL","368"
"HU","352"
"QU","350"
"WE","348"
"AD,VA","345"
"MU","342"
"AU","323"
"GL","312"
"NI","308"
"HE","5002"
"GU","306"
"SO","4988"
"SC","300"
"LI","4233"
"DE","4200"
"ME","4002"
"SA","3795"
"DI","3498"
"SE","3416"
"CH","3300"
"TR","3243"
"RE","13246"
"MA","12495"
"CO","11008"
"THBEOF","10050"
"SU","7452"
"ST","6545"
"PA","5828"
"MO","5720"
"CA","5658"
"BA","5200"
"THVEBE","3164"
"BE","3139"
"AN","3071"
"BL","3034"
"PR","3024"
"IN","2964"
"LO","2862"
"HO","2856"
"RA","2847"
"SH","2660"
"SI","2542"
"UN","2482"
"DA","2394"
"MI","2385"
"TE","2368"
"GO","2170"
"BO","2016"
"RO","1944"
"GRHI","1804"
"FA","1764"
"WA","1682"
"AL","1584"
"HA","1575"
"PO","1470"
"VI","1458"
"RI","1440"
"SP","1425"
"FL,LA","1421"
"BR","1395"
"PE","1365"
"FR","1334"
"TA","1170"
"TI","1134"
"DR","1107"
"FO","1064"
"AM","1053"
"WO","1040"
"BU","1012"
"TO","946"
"BI","925"
"EV","924"
"NA","896"
"EN","884"
"LE","837"
"NO","825"
"KA,VE","736"
"AR","735"
"FI","726"
"WI","722"
"ES,GR","720"
"CR","703"
"KO","651"
"CL","640"
"BATOBL","628"
"JU","598"
"GA","580"
"KI","576"
"EX","532"
"GE","528"
"HI","527"
"AS","494"
"DO,PI","483"
"LU","460"
"LIATTH","448"
"SK","442"
"IM","420"
"EL","406"
"TH","405"
