"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] AlbumTitleComparatorLevenshteinLowerCase record1Value","[0] AlbumTitleComparatorLevenshteinLowerCase record2Value","[0] AlbumTitleComparatorLevenshteinLowerCase record1PreprocessedValue","[0] AlbumTitleComparatorLevenshteinLowerCase record2PreprocessedValue","[0] AlbumTitleComparatorLevenshteinLowerCase similarity","[0] AlbumTitleComparatorLevenshteinLowerCase postproccesedSimilarity"
"LinearCombinationMatchingRule","WDC_8781","MB_75201","0.2727272727272727",,"eveningland","eva","eveningland","eva","0.2727272727272727","0.2727272727272727"
"LinearCombinationMatchingRule","WDC_30315","MB_52063","0.6",,"live at the belly up","live at the hiatt","live at the belly up","live at the hiatt","0.6","0.6"
"LinearCombinationMatchingRule","WDC_39852","MB_55835","0.696969696969697",,"the ultimate collection 1968-2003","the ultimate collection","the ultimate collection 1968-2003","the ultimate collection","0.696969696969697","0.696969696969697"
"LinearCombinationMatchingRule","WDC_39852","MB_53415","0.696969696969697",,"the ultimate collection 1968-2003","the ultimate collection","the ultimate collection 1968-2003","the ultimate collection","0.696969696969697","0.696969696969697"
"LinearCombinationMatchingRule","WDC_7428","MB_37877","0.30000000000000004",,"dedication","dezembros","dedication","dezembros","0.30000000000000004","0.30000000000000004"
"LinearCombinationMatchingRule","WDC_22470","MB_30209","0.30000000000000004",,"libertango","liar","libertango","liar","0.30000000000000004","0.30000000000000004"
"LinearCombinationMatchingRule","WDC_1508","MB_18204","0.2222222222222222",,"hoy","hookworms","hoy","hookworms","0.2222222222222222","0.2222222222222222"
"LinearCombinationMatchingRule","WDC_11872","MB_17894","1.0",,"greatest hits","greatest hits","greatest hits","greatest hits","1.0","1.0"
"LinearCombinationMatchingRule","WDC_22321","MB_57012","0.25",,"truckin'","trouble","truckin'","trouble","0.25","0.25"
"LinearCombinationMatchingRule","WDC_28689","MB_64525","0.2222222222222222",,"far","faithless","far","faithless","0.2222222222222222","0.2222222222222222"
"LinearCombinationMatchingRule","WDC_1768","MB_56102","0.25",,"telephantasm","tecktonick","telephantasm","tecktonick","0.25","0.25"
"LinearCombinationMatchingRule","WDC_22364","MB_44860","0.26315789473684215",,"until the sun comes up (piano version)","under the sun","until the sun comes up (piano version)","under the sun","0.26315789473684215","0.26315789473684215"
"LinearCombinationMatchingRule","WDC_6724","MB_55521","0.30000000000000004",,"superlungs","sublime","superlungs","sublime","0.30000000000000004","0.30000000000000004"
"LinearCombinationMatchingRule","WDC_40103","MB_39391","0.25",,"tofu","toystore","tofu","toystore","0.25","0.25"
"LinearCombinationMatchingRule","WDC_6621","MB_75020","0.5",,"beyond","bed","beyond","bed","0.5","0.5"
"LinearCombinationMatchingRule","WDC_39336","MB_55309","0.52",,"the best of patti austin","the best of miriam makeba","the best of patti austin","the best of miriam makeba","0.52","0.52"
"LinearCombinationMatchingRule","WDC_25585","MB_8234","0.4",,"surrender","sugared-up","surrender","sugared-up","0.4","0.4"
"LinearCombinationMatchingRule","WDC_17473","MB_13741","0.33333333333333337",,"beautiful","bewplum","beautiful","bewplum","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","WDC_10304","MB_26477","0.33333333333333337",,"una","united","una","united","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","WDC_22894","MB_22263","0.7692307692307692",,"great hits","greatest hits","great hits","greatest hits","0.7692307692307692","0.7692307692307692"
"LinearCombinationMatchingRule","WDC_3431","MB_1516","0.7972972972972973",,"20th century masters: the millennium collection: best of quincy jones","20th century masters: the millennium collection: the best of cece peniston","20th century masters: the millennium collection: best of quincy jones","20th century masters: the millennium collection: the best of cece peniston","0.7972972972972973","0.7972972972972973"
"LinearCombinationMatchingRule","WDC_12716","MB_66354","0.25",,"re:member","reptilectric","re:member","reptilectric","0.25","0.25"
"LinearCombinationMatchingRule","WDC_27963","MB_68088","0.19999999999999996",,"siren","simplicity","siren","simplicity","0.19999999999999996","0.19999999999999996"
"LinearCombinationMatchingRule","WDC_41013","MB_75200","0.7142857142857143",,"meaning","menina","meaning","menina","0.7142857142857143","0.7142857142857143"
"LinearCombinationMatchingRule","WDC_41176","MB_41000","0.5",,"colour","coyote","colour","coyote","0.5","0.5"
"LinearCombinationMatchingRule","WDC_3424","MB_33589","0.15384615384615385",,"mezzanine","metamorphosis","mezzanine","metamorphosis","0.15384615384615385","0.15384615384615385"
"LinearCombinationMatchingRule","WDC_32912","MB_55478","0.5384615384615384",,"reincarnation","renovatio","reincarnation","renovatio","0.5384615384615384","0.5384615384615384"
"LinearCombinationMatchingRule","WDC_39193","MB_54809","0.5",,"mababaza","mamacita","mababaza","mamacita","0.5","0.5"
"LinearCombinationMatchingRule","WDC_7253","MB_55999","0.38235294117647056",,"the best of shaggy","the best of jay and the techniques","the best of shaggy","the best of jay and the techniques","0.38235294117647056","0.38235294117647056"
"LinearCombinationMatchingRule","WDC_42054","MB_49016","0.2222222222222222",,"convivial","collected","convivial","collected","0.2222222222222222","0.2222222222222222"
"LinearCombinationMatchingRule","WDC_1471","MB_12039","0.4444444444444444",,"calliope","capricorn","calliope","capricorn","0.4444444444444444","0.4444444444444444"
"LinearCombinationMatchingRule","WDC_6679","MB_7515","0.33333333333333337",,"lifeforms","libido","lifeforms","libido","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","WDC_13215","MB_60643","0.4126984126984127",,"the very best of van halen (uk release) (uk release [explicit])","the very best of the righteous brothers: unchained melody","the very best of van halen (uk release) (uk release [explicit])","the very best of the righteous brothers: unchained melody","0.4126984126984127","0.4126984126984127"
"LinearCombinationMatchingRule","WDC_13215","MB_60644","0.4126984126984127",,"the very best of van halen (uk release) (uk release [explicit])","the very best of the righteous brothers: unchained melody","the very best of van halen (uk release) (uk release [explicit])","the very best of the righteous brothers: unchained melody","0.4126984126984127","0.4126984126984127"
"LinearCombinationMatchingRule","WDC_41761","MB_16153","0.375",,"serenity","setembro","serenity","setembro","0.375","0.375"
"LinearCombinationMatchingRule","WDC_17536","MB_64168","0.23076923076923073",,"songversation","some","songversation","some","0.23076923076923073","0.23076923076923073"
"LinearCombinationMatchingRule","WDC_26324","MB_29882","0.7887323943661972",,"20th century masters: the millennium collection: best of tanya tucker","20th century masters: the millennium collection: the best of parliament","20th century masters: the millennium collection: best of tanya tucker","20th century masters: the millennium collection: the best of parliament","0.7887323943661972","0.7887323943661972"
"LinearCombinationMatchingRule","WDC_10700","MB_61381","0.4285714285714286",,"durotto","duets","durotto","duets","0.4285714285714286","0.4285714285714286"
"LinearCombinationMatchingRule","WDC_24966","MB_30143","0.33333333333333337",,"heartwork","hendra","heartwork","hendra","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","WDC_6328","MB_29568","0.5714285714285714",,"speak","special","speak","special","0.5714285714285714","0.5714285714285714"
"LinearCombinationMatchingRule","WDC_29148","MB_27137","0.6111111111111112",,"belly of the beast","best of the 60's","belly of the beast","best of the 60's","0.6111111111111112","0.6111111111111112"
"LinearCombinationMatchingRule","WDC_18020","MB_73064","0.4444444444444444",,"uncovered","unplugged","uncovered","unplugged","0.4444444444444444","0.4444444444444444"
"LinearCombinationMatchingRule","WDC_21528","MB_14809","0.33333333333333337",,"sensuous","sensefiction","sensuous","sensefiction","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","WDC_33925","MB_60916","1.0",,"greatest hits","greatest hits","greatest hits","greatest hits","1.0","1.0"
"LinearCombinationMatchingRule","WDC_39854","MB_68038","0.30000000000000004",,"revelation","redeemer","revelation","redeemer","0.30000000000000004","0.30000000000000004"
"LinearCombinationMatchingRule","WDC_34436","MB_74770","0.5",,"electricity","electronomicon","electricity","electronomicon","0.5","0.5"
"LinearCombinationMatchingRule","WDC_28929","MB_24724","0.375",,"katla","kasabian","katla","kasabian","0.375","0.375"
"LinearCombinationMatchingRule","WDC_7295","MB_39635","0.875",,"the game","the gate","the game","the gate","0.875","0.875"
"LinearCombinationMatchingRule","WDC_26084","MB_47653","1.0",,"crazy days","crazy days","crazy days","crazy days","1.0","1.0"
"LinearCombinationMatchingRule","WDC_41215","MB_2599","0.18181818181818177",,"restless","retroactive","restless","retroactive","0.18181818181818177","0.18181818181818177"
"LinearCombinationMatchingRule","WDC_32510","MB_37645","0.33333333333333337",,"follow","found","follow","found","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","WDC_21507","MB_65398","0.6842105263157895",,"live at the bbc","live at the budokan","live at the bbc","live at the budokan","0.6842105263157895","0.6842105263157895"
"LinearCombinationMatchingRule","WDC_1846","MB_57403","0.33333333333333337",,"wa-do-dem","water","wa-do-dem","water","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","WDC_40376","MB_69523","0.5",,"the best of spooky tooth","the best of najee","the best of spooky tooth","the best of najee","0.5","0.5"
"LinearCombinationMatchingRule","WDC_4296","MB_1804","0.25",,"spitfire","sparks","spitfire","sparks","0.25","0.25"
"LinearCombinationMatchingRule","WDC_26226","MB_36082","0.33333333333333337",,"dragonfly","dreamin'","dragonfly","dreamin'","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","WDC_9347","MB_68562","0.5",,"mirage","micropacer","mirage","micropacer","0.5","0.5"
"LinearCombinationMatchingRule","WDC_13367","MB_51817","0.33333333333333337",,"serengeti","senseless","serengeti","senseless","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","WDC_22429","MB_26883","0.3695652173913043",,"the best of buffalo springfield: retrospective","the best of dee dee sharp","the best of buffalo springfield: retrospective","the best of dee dee sharp","0.3695652173913043","0.3695652173913043"
"LinearCombinationMatchingRule","WDC_2780","MB_43515","0.30000000000000004",,"frustrated","free·man","frustrated","free·man","0.30000000000000004","0.30000000000000004"
"LinearCombinationMatchingRule","WDC_5886","MB_60830","0.2857142857142857",,"revenge","return","revenge","return","0.2857142857142857","0.2857142857142857"
"LinearCombinationMatchingRule","WDC_32761","MB_1246","0.33333333333333337",,"polymorph","poison","polymorph","poison","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","WDC_23231","MB_60458","0.5",,"instinct","inclinator","instinct","inclinator","0.5","0.5"
"LinearCombinationMatchingRule","WDC_31208","MB_10193","0.3125",,"unravel","under.stand.able","unravel","under.stand.able","0.3125","0.3125"
"LinearCombinationMatchingRule","WDC_31828","MB_66696","0.375",,"relaunch","renacer","relaunch","renacer","0.375","0.375"
"LinearCombinationMatchingRule","WDC_18293","MB_30480","0.5",,"the very best of the wailing souls","the very best of …","the very best of the wailing souls","the very best of …","0.5","0.5"
"LinearCombinationMatchingRule","WDC_16275","MB_60328","0.375",,"reaction","repenti","reaction","repenti","0.375","0.375"
"LinearCombinationMatchingRule","WDC_5098","MB_70190","0.34042553191489366",,"the best of talking heads","the best of umberto tozzi: yesterday, 1976-2012","the best of talking heads","the best of umberto tozzi: yesterday, 1976-2012","0.34042553191489366","0.34042553191489366"
"LinearCombinationMatchingRule","WDC_20348","MB_41191","0.2142857142857143",,"blah-blah-blah","bluestars","blah-blah-blah","bluestars","0.2142857142857143","0.2142857142857143"
"LinearCombinationMatchingRule","WDC_4879","MB_25852","1.0",,"regret","regret","regret","regret","1.0","1.0"
"LinearCombinationMatchingRule","WDC_28094","MB_27218","0.4",,"travelling","trace","travelling","trace","0.4","0.4"
"LinearCombinationMatchingRule","WDC_9493","MB_34347","0.2857142857142857",,"lovely","lookinglasself","lovely","lookinglasself","0.2857142857142857","0.2857142857142857"
"LinearCombinationMatchingRule","WDC_37204","MB_22003","0.4285714285714286",,"mariage","maga","mariage","maga","0.4285714285714286","0.4285714285714286"
"LinearCombinationMatchingRule","WDC_37321","MB_73579","0.2857142857142857",,"money","motions","money","motions","0.2857142857142857","0.2857142857142857"
"LinearCombinationMatchingRule","WDC_29842","MB_28194","0.2727272727272727",,"loyalty","loudspeaker","loyalty","loudspeaker","0.2727272727272727","0.2727272727272727"
"LinearCombinationMatchingRule","WDC_45006","MB_16469","0.41666666666666663",,"the best of stephanie mills","the best of: cameo parkway 1959-1964","the best of stephanie mills","the best of: cameo parkway 1959-1964","0.41666666666666663","0.41666666666666663"
"LinearCombinationMatchingRule","WDC_18620","MB_55370","0.5384615384615384",,"the standards","the stallion","the standards","the stallion","0.5384615384615384","0.5384615384615384"
"LinearCombinationMatchingRule","WDC_6598","MB_72214","0.9473684210526316",,"for what it's worth","for what it’s worth","for what it's worth","for what it’s worth","0.9473684210526316","0.9473684210526316"
"LinearCombinationMatchingRule","WDC_14720","MB_30377","0.5333333333333333",,"the music of an enchanted isle","the music of eric von essen","the music of an enchanted isle","the music of eric von essen","0.5333333333333333","0.5333333333333333"
"LinearCombinationMatchingRule","WDC_38743","MB_58676","0.33333333333333337",,"deception","demo","deception","demo","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","WDC_321","MB_3927","0.375",,"insekt","insomnia","insekt","insomnia","0.375","0.375"
"LinearCombinationMatchingRule","WDC_32904","MB_54003","0.19999999999999996",,"flashdance","fly","flashdance","fly","0.19999999999999996","0.19999999999999996"
"LinearCombinationMatchingRule","WDC_13238","MB_68711","0.375",,"flex","flawless","flex","flawless","0.375","0.375"
"LinearCombinationMatchingRule","WDC_9625","MB_33533","0.36363636363636365",,"storyteller","storms","storyteller","storms","0.36363636363636365","0.36363636363636365"
"LinearCombinationMatchingRule","WDC_38654","MB_38727","0.3846153846153846",,"unberechenbar","unforgiven","unberechenbar","unforgiven","0.3846153846153846","0.3846153846153846"
"LinearCombinationMatchingRule","WDC_4324","MB_24366","0.5",,"maniac","mayday","maniac","mayday","0.5","0.5"
"LinearCombinationMatchingRule","WDC_9625","MB_33532","0.36363636363636365",,"storyteller","storms","storyteller","storms","0.36363636363636365","0.36363636363636365"
"LinearCombinationMatchingRule","WDC_2474","MB_58928","0.33333333333333337",,"anthology","anuraaga","anthology","anuraaga","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","WDC_34906","MB_44868","0.2857142857142857",,"covers","constelaciones","covers","constelaciones","0.2857142857142857","0.2857142857142857"
"LinearCombinationMatchingRule","WDC_17959","MB_62157","0.19999999999999996",,"hello?","heartbreak","hello?","heartbreak","0.19999999999999996","0.19999999999999996"
"LinearCombinationMatchingRule","WDC_9708","MB_65544","0.5",,"masters of the sun vol. 1 (explicit)","masters of the funck","masters of the sun vol. 1 (explicit)","masters of the funck","0.5","0.5"
"LinearCombinationMatchingRule","WDC_2509","MB_52227","0.33333333333333337",,"25-jul","25","25-jul","25","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","WDC_5440","MB_21782","0.5862068965517242",,"the best of the five keys","the best of sophie b. hawkins","the best of the five keys","the best of sophie b. hawkins","0.5862068965517242","0.5862068965517242"
"LinearCombinationMatchingRule","WDC_22562","MB_26524","0.42500000000000004",,"close your eyes mike","close your eyes / doggone it, you did it","close your eyes mike","close your eyes / doggone it, you did it","0.42500000000000004","0.42500000000000004"
"LinearCombinationMatchingRule","WDC_43867","MB_80227","0.375",,"caliente","caves","caliente","caves","0.375","0.375"
"LinearCombinationMatchingRule","WDC_4260","MB_43789","0.4444444444444444",,"the best of 1990-2000","the best of theatre of hate","the best of 1990-2000","the best of theatre of hate","0.4444444444444444","0.4444444444444444"
"LinearCombinationMatchingRule","WDC_32783","MB_52322","0.30000000000000004",,"footprints","forever","footprints","forever","0.30000000000000004","0.30000000000000004"
"LinearCombinationMatchingRule","WDC_35075","MB_61798","0.6",,"vixen","vives","vixen","vives","0.6","0.6"
"LinearCombinationMatchingRule","WDC_1725","MB_60387","0.29729729729729726",,"the best of","the best of siouxsie and the banshees","the best of","the best of siouxsie and the banshees","0.29729729729729726","0.29729729729729726"
"LinearCombinationMatchingRule","WDC_21778","MB_12614","0.2857142857142857",,"investigations","indaco","investigations","indaco","0.2857142857142857","0.2857142857142857"
"LinearCombinationMatchingRule","WDC_28907","MB_74943","0.4",,"misty","mills","misty","mills","0.4","0.4"
"LinearCombinationMatchingRule","WDC_5712","MB_80516","0.30000000000000004",,"reflection","reposts","reflection","reposts","0.30000000000000004","0.30000000000000004"
"LinearCombinationMatchingRule","WDC_34953","MB_20221","0.4",,"essential","escalation","essential","escalation","0.4","0.4"
"LinearCombinationMatchingRule","WDC_5804","MB_41506","0.2857142857142857",,"serra","seaside","serra","seaside","0.2857142857142857","0.2857142857142857"
"LinearCombinationMatchingRule","WDC_37844","MB_77575","0.4545454545454546",,"caution","capricornia","caution","capricornia","0.4545454545454546","0.4545454545454546"
"LinearCombinationMatchingRule","WDC_35846","MB_5180","0.33333333333333337",,"capricorn","calog3ro","capricorn","calog3ro","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","WDC_11741","MB_59130","0.6875",,"the best of","the best of love","the best of","the best of love","0.6875","0.6875"
"LinearCombinationMatchingRule","WDC_363","MB_56575","0.6086956521739131",,"a decade of riot!","a decade of destruction","a decade of riot!","a decade of destruction","0.6086956521739131","0.6086956521739131"
"LinearCombinationMatchingRule","WDC_45150","MB_11411","0.375",,"silence","sibelius","silence","sibelius","0.375","0.375"
"LinearCombinationMatchingRule","WDC_5982","MB_65859","0.2222222222222222",,"supersaw","surviving","supersaw","surviving","0.2222222222222222","0.2222222222222222"
"LinearCombinationMatchingRule","WDC_38492","MB_37326","1.0",,"greatest hits","greatest hits","greatest hits","greatest hits","1.0","1.0"
"LinearCombinationMatchingRule","WDC_36251","MB_62511","0.2857142857142857",,"beyond","believe","beyond","believe","0.2857142857142857","0.2857142857142857"
"LinearCombinationMatchingRule","WDC_30331","MB_76019","0.375",,"reckless","resist","reckless","resist","0.375","0.375"
"LinearCombinationMatchingRule","WDC_9413","MB_43233","0.33333333333333337",,"hooked","hotbox","hooked","hotbox","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","WDC_35195","MB_60441","0.33333333333333337",,"changes","christmas","changes","christmas","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","WDC_26968","MB_5954","0.6086956521739131",,"the best of the monkees","the best of russ conway","the best of the monkees","the best of russ conway","0.6086956521739131","0.6086956521739131"
"LinearCombinationMatchingRule","WDC_31637","MB_38005","0.5",,"the very best of fairground attraction","the very best of the shadows","the very best of fairground attraction","the very best of the shadows","0.5","0.5"
"LinearCombinationMatchingRule","WDC_35566","MB_68299","0.33333333333333337",,"chemistry","chameleon","chemistry","chameleon","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","WDC_24547","MB_66481","0.30952380952380953",,"live at the ritz - an acoustic performance","live at the bbc","live at the ritz - an acoustic performance","live at the bbc","0.30952380952380953","0.30952380952380953"
"LinearCombinationMatchingRule","WDC_14373","MB_32185","0.33333333333333337",,"remedy","reborn","remedy","reborn","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","WDC_24122","MB_31860","0.4358974358974359",,"the best of big joe turner","the best of peter tosh: dread don't die","the best of big joe turner","the best of peter tosh: dread don't die","0.4358974358974359","0.4358974358974359"
"LinearCombinationMatchingRule","WDC_20964","MB_71950","0.5588235294117647",,"the very best of the grateful dead","the very best of marvin gaye","the very best of the grateful dead","the very best of marvin gaye","0.5588235294117647","0.5588235294117647"
