"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] AlbumTitleComparatorLevenshteinLowerCase record1Value","[0] AlbumTitleComparatorLevenshteinLowerCase record2Value","[0] AlbumTitleComparatorLevenshteinLowerCase record1PreprocessedValue","[0] AlbumTitleComparatorLevenshteinLowerCase record2PreprocessedValue","[0] AlbumTitleComparatorLevenshteinLowerCase similarity","[0] AlbumTitleComparatorLevenshteinLowerCase postproccesedSimilarity","[1] AlbumTotalTracksComparatorDeviationSimilarity record1Value","[1] AlbumTotalTracksComparatorDeviationSimilarity record2Value","[1] AlbumTotalTracksComparatorDeviationSimilarity record1PreprocessedValue","[1] AlbumTotalTracksComparatorDeviationSimilarity record2PreprocessedValue","[1] AlbumTotalTracksComparatorDeviationSimilarity similarity","[1] AlbumTotalTracksComparatorDeviationSimilarity postproccesedSimilarity","[2] AlbumTotalTracksComparatorAbsoluteDifferenceSimilarity record1Value","[2] AlbumTotalTracksComparatorAbsoluteDifferenceSimilarity record2Value","[2] AlbumTotalTracksComparatorAbsoluteDifferenceSimilarity record1PreprocessedValue","[2] AlbumTotalTracksComparatorAbsoluteDifferenceSimilarity record2PreprocessedValue","[2] AlbumTotalTracksComparatorAbsoluteDifferenceSimilarity similarity","[2] AlbumTotalTracksComparatorAbsoluteDifferenceSimilarity postproccesedSimilarity","[3] AlbumDurationComparatorAbsoluteDifferenceSimilarity record1Value","[3] AlbumDurationComparatorAbsoluteDifferenceSimilarity record2Value","[3] AlbumDurationComparatorAbsoluteDifferenceSimilarity record1PreprocessedValue","[3] AlbumDurationComparatorAbsoluteDifferenceSimilarity record2PreprocessedValue","[3] AlbumDurationComparatorAbsoluteDifferenceSimilarity similarity","[3] AlbumDurationComparatorAbsoluteDifferenceSimilarity postproccesedSimilarity"
"LinearCombinationMatchingRule","WDC_14885","spy_4568","0.5",,"hits","hi","hits","hi","0.5","0.5","10.0",,"10.0",,"0.4166666666666667","0.0","10.0",,"10.0",,"0.8","0.0","2438.0",,"2438.0",,"0.0","0.0"
"LinearCombinationMatchingRule","WDC_15301","spy_1425","0.375",,"innocent","ingat","innocent","ingat","0.375","0.375","10.0",,"10.0",,"0.25","0.0","10.0",,"10.0",,"0.5","0.0","2160.0",,"2160.0",,"0.0","0.0"
"LinearCombinationMatchingRule","WDC_1945","spy_878","0.25",,"mademoiselle","mama","mademoiselle","mama","0.25","0.25","10.0",,"10.0",,"0.05","0.0","10.0",,"10.0",,"0.09999999999999998","0.0","1872.0",,"1872.0",,"0.0","0.0"
"LinearCombinationMatchingRule","WDC_21818","spy_10051","1.0",,"heaven","heaven","heaven","heaven","1.0","1.0","10.0",,"10.0",,"0.15","0.0","10.0",,"10.0",,"0.30000000000000004","0.0","1863.0",,"1863.0",,"0.0","0.0"
"LinearCombinationMatchingRule","WDC_17632","spy_327","0.5",,"sino","simone","sino","simone","0.5","0.5","10.0",,"10.0",,"0.3333333333333333","0.0","10.0",,"10.0",,"0.5","0.0","2144.0",,"2144.0",,"0.0","0.0"
"LinearCombinationMatchingRule","WDC_31982","spy_8553","0.4",,"vibrations","viilein","vibrations","viilein","0.4","0.4","1.0",,"1.0",,"0.05","0.0","1.0",,"1.0",,"0.09999999999999998","0.0","168.0",,"168.0",,"0.0","0.0"
"LinearCombinationMatchingRule","WDC_14502","spy_9373","0.2222222222222222",,"tempest","testimony","tempest","testimony","0.2222222222222222","0.2222222222222222","10.0",,"10.0",,"0.05","0.0","10.0",,"10.0",,"0.09999999999999998","0.0","2139.0",,"2139.0",,"0.0","0.0"
"LinearCombinationMatchingRule","WDC_10529","spy_18946","0.2857142857142857",,"trust","trapped","trust","trapped","0.2857142857142857","0.2857142857142857","10.0",,"10.0",,"0.35714285714285715","0.0","10.0",,"10.0",,"0.6","0.0","1775.0",,"1775.0",,"0.0","0.0"
"LinearCombinationMatchingRule","WDC_22352","spy_16525","0.30000000000000004",,"regen","revolution","regen","revolution","0.30000000000000004","0.30000000000000004","10.0",,"10.0",,"0.35714285714285715","0.0","10.0",,"10.0",,"0.6","0.0","2468.0",,"2468.0",,"0.0","0.0"
"LinearCombinationMatchingRule","WDC_25702","spy_5957","0.25",,"princesa","prodotto","princesa","prodotto","0.25","0.25","10.0",,"10.0",,"0.05","0.0","10.0",,"10.0",,"0.09999999999999998","0.0","1651.0",,"1651.0",,"0.0","0.0"
"LinearCombinationMatchingRule","WDC_7740","spy_4273","1.4285714285714286",,"maraton","marcha","maraton","marcha","0.4285714285714286","0.4285714285714286","10.0",,"10.0",,"1.0","1.0","10.0",,"10.0",,"1.0","1.0","1925.0",,"1925.0",,"0.0","0.0"
"LinearCombinationMatchingRule","WDC_26131","spy_3282","0.4",,"reboot","retrospect","reboot","retrospect","0.4","0.4","10.0",,"10.0",,"0.15","0.0","10.0",,"10.0",,"0.30000000000000004","0.0","1788.0",,"1788.0",,"0.0","0.0"
"LinearCombinationMatchingRule","WDC_40306","spy_14203","0.4",,"codeine","confiésale","codeine","confiésale","0.4","0.4","10.0",,"10.0",,"0.05","0.0","10.0",,"10.0",,"0.09999999999999998","0.0","2148.0",,"2148.0",,"0.0","0.0"
"LinearCombinationMatchingRule","WDC_16298","spy_1839","0.25",,"bakesale","ballern","bakesale","ballern","0.25","0.25","10.0",,"10.0",,"0.3333333333333333","0.0","10.0",,"10.0",,"0.5","0.0","1317.0",,"1317.0",,"0.0","0.0"
"LinearCombinationMatchingRule","WDC_8480","spy_9373","0.25",,"telephantasm","testimony","telephantasm","testimony","0.25","0.25","10.0",,"10.0",,"0.4166666666666667","0.0","10.0",,"10.0",,"0.8","0.0","2139.0",,"2139.0",,"0.0","0.0"
"LinearCombinationMatchingRule","WDC_10100","spy_4948","0.4285714285714286",,"bahia","ballads","bahia","ballads","0.4285714285714286","0.4285714285714286","10.0",,"10.0",,"0.1","0.0","10.0",,"10.0",,"0.19999999999999996","0.0","1944.0",,"1944.0",,"0.0","0.0"
"LinearCombinationMatchingRule","WDC_7157","spy_14779","0.30000000000000004",,"temptation","teenager","temptation","teenager","0.30000000000000004","0.30000000000000004","10.0",,"10.0",,"0.4166666666666667","0.0","10.0",,"10.0",,"0.8","0.0","1872.0",,"1872.0",,"0.0","0.0"
"LinearCombinationMatchingRule","WDC_27396","spy_16825","0.4",,"magic","mama","magic","mama","0.4","0.4","10.0",,"10.0",,"0.18518518518518517","0.0","10.0",,"10.0",,"0.0","0.0","1872.0",,"1872.0",,"0.0","0.0"
"LinearCombinationMatchingRule","WDC_3384","spy_16935","0.375",,"carousel","calypso","carousel","calypso","0.375","0.375","10.0",,"10.0",,"0.3","0.0","10.0",,"10.0",,"0.6","0.0","1725.0",,"1725.0",,"0.0","0.0"
"LinearCombinationMatchingRule","WDC_42967","spy_7552","0.4516129032258065",,"that's why the moon was smiling","thats what they all say","that's why the moon was smiling","thats what they all say","0.4516129032258065","0.4516129032258065","10.0",,"10.0",,"0.3333333333333333","0.0","10.0",,"10.0",,"0.5","0.0","1735.0",,"1735.0",,"0.0","0.0"
"LinearCombinationMatchingRule","WDC_15179","spy_2856","0.18181818181818177",,"bittersweet","bipolar","bittersweet","bipolar","0.18181818181818177","0.18181818181818177","10.0",,"10.0",,"0.3125","0.0","10.0",,"10.0",,"0.4","0.0","2043.0",,"2043.0",,"0.0","0.0"
"LinearCombinationMatchingRule","WDC_30797","spy_3832","0.4",,"perception","peri","perception","peri","0.4","0.4","10.0",,"10.0",,"0.15","0.0","10.0",,"10.0",,"0.30000000000000004","0.0","2064.0",,"2064.0",,"0.0","0.0"
"LinearCombinationMatchingRule","WDC_26317","spy_1164","0.2857142857142857",,"persona","pete","persona","pete","0.2857142857142857","0.2857142857142857","10.0",,"10.0",,"0.3","0.0","10.0",,"10.0",,"0.6","0.0","1681.0",,"1681.0",,"0.0","0.0"
"LinearCombinationMatchingRule","WDC_7428","spy_2894","0.4",,"dedication","demais","dedication","demais","0.4","0.4","10.0",,"10.0",,"0.1","0.0","10.0",,"10.0",,"0.19999999999999996","0.0","1792.0",,"1792.0",,"0.0","0.0"
